			Lead Left	Lead Right
-------------------------------------------
DIPS
255.	 100.8 	 C0 - 4.0 mA	 C0 - 4.0 mA 	 (0.52 / 0.30) 
256.	 100.7 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (0.96 / 0.31) 
257.	 100.7 	 C0 - 3.0 mA	 C0 - 2.5 mA 	 (0.55 / 0.30) 
258.	 100.7 	 C0 - 5.5 mA	 C0 - 4.5 mA 	 (0.51 / 0.30) 
259.	 100.4 	 C3 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
260.	 100.4 	 C0 - 3.5 mA	 C0 - 4.0 mA 	 (0.53 / 0.30) 
261.	 100.4 	 C2 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
262.	 100.4 	 C0 - 4.5 mA	 C0 - 2.0 mA 	 (0.51 / 0.29) 
263.	 100.3 	 C0 - 3.0 mA	 C0 - 3.0 mA 	 (0.55 / 0.30) 
264.	 100.3 	 C0 - 2.5 mA	 C0 - 3.5 mA 	 (0.57 / 0.30) 
265.	 100.2 	 C0 - 2.0 mA	 C0 - 3.5 mA 	 (0.60 / 0.30) 
266.	 100.2 	 C0 - 4.0 mA	 C0 - 2.0 mA 	 (0.52 / 0.29) 
267.	 100.1 	 C0 - 2.5 mA	 C0 - 2.5 mA 	 (0.57 / 0.30) 
268.	 100.0 	 C0 - 2.0 mA	 C0 - 2.5 mA 	 (0.60 / 0.30) 
269.	 100.0 	 C0 - 4.5 mA	 C0 - 4.5 mA 	 (0.51 / 0.30) 
270.	 99.9 	 C0 - 4.0 mA	 C0 - 4.5 mA 	 (0.52 / 0.30) 
271.	 99.8 	 C1 - 5.5 mA	 C1 - 1.5 mA 	 (0.82 / 0.74) 
272.	 99.7 	 C0 - 2.5 mA	 C0 - 3.0 mA 	 (0.57 / 0.30) 
273.	 99.7 	 C0 - 3.5 mA	 C0 - 2.0 mA 	 (0.53 / 0.29) 
274.	 99.6 	 C0 - 2.0 mA	 C0 - 3.0 mA 	 (0.60 / 0.30) 
