			3387-Left	3387-Right
-------------------------------------------
DIPS
258.	 79.3 	 C0 - 3.5 mA	 C1 - 3.0 mA 	 (1.00 / 0.67) 
259.	 79.3 	 C2 - 4.0 mA	 C0 - 5.0 mA 	 (0.80 / 0.28) 
260.	 79.3 	 C0 - 4.5 mA	 C1 - 3.0 mA 	 (0.99 / 0.67) 
261.	 79.2 	 C0 - 4.0 mA	 C1 - 3.0 mA 	 (1.00 / 0.67) 
262.	 79.1 	 C2 - 4.0 mA	 C0 - 4.5 mA 	 (0.80 / 0.28) 
263.	 79.1 	 C3 - 4.0 mA	 C0 - 1.5 mA 	 (0.30 / 0.23) 
264.	 79.1 	 C3 - 2.5 mA	 C1 - 5.0 mA 	 (0.27 / 0.61) 
265.	 79.1 	 C1 - 3.0 mA	 C0 - 3.5 mA 	 (1.00 / 0.28) 
266.	 79.0 	 C3 - 3.0 mA	 C1 - 4.5 mA 	 (0.29 / 0.63) 
267.	 79.0 	 C3 - 2.5 mA	 C1 - 5.5 mA 	 (0.27 / 0.60) 
268.	 79.0 	 C3 - 3.0 mA	 C1 - 4.0 mA 	 (0.29 / 0.63) 
269.	 79.0 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.28) 
270.	 78.9 	 C2 - 4.0 mA	 C0 - 5.5 mA 	 (0.80 / 0.28) 
271.	 78.9 	 C0 - 3.0 mA	 C1 - 3.5 mA 	 (1.00 / 0.65) 
272.	 78.9 	 C0 - 4.5 mA	 C1 - 2.5 mA 	 (0.99 / 0.71) 
273.	 78.9 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
274.	 78.9 	 C0 - 3.5 mA	 C1 - 2.5 mA 	 (1.00 / 0.71) 
