			3387-Left	3387-Right
-------------------------------------------
DIPS
212.	 80.5 	 C1 - 3.0 mA	 C2 - 2.0 mA 	 (0.98 / 1.00) 
213.	 80.5 	 C1 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 0.61) 
214.	 80.3 	 C0 - 3.0 mA	 C2 - 4.0 mA 	 (0.82 / 1.00) 
215.	 80.3 	 C0 - 5.0 mA	 C1 - 4.0 mA 	 (0.76 / 0.99) 
216.	 80.2 	 C0 - 4.5 mA	 C1 - 5.0 mA 	 (0.77 / 0.97) 
217.	 80.2 	 C1 - 3.5 mA	 C1 - 2.0 mA 	 (0.97 / 1.00) 
218.	 80.0 	 C1 - 5.0 mA	 C1 - 5.0 mA 	 (0.93 / 0.97) 
219.	 80.0 	 C0 - 3.0 mA	 C1 - 2.0 mA 	 (0.82 / 1.00) 
220.	 79.9 	 C0 - 5.5 mA	 C1 - 4.0 mA 	 (0.75 / 0.99) 
221.	 79.9 	 C0 - 4.5 mA	 C1 - 5.5 mA 	 (0.77 / 0.96) 
222.	 79.9 	 C1 - 5.0 mA	 C1 - 5.5 mA 	 (0.93 / 0.96) 
223.	 79.8 	 C0 - 2.5 mA	 C2 - 3.5 mA 	 (0.84 / 1.00) 
224.	 79.7 	 C2 - 1.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
225.	 79.7 	 C1 - 3.5 mA	 C2 - 4.0 mA 	 (0.97 / 1.00) 
226.	 79.7 	 C3 - 1.5 mA	 C1 - 4.0 mA 	 (0.61 / 0.99) 
227.	 79.6 	 C1 - 4.0 mA	 C1 - 2.5 mA 	 (0.96 / 1.00) 
228.	 79.6 	 C0 - 5.0 mA	 C1 - 3.5 mA 	 (0.76 / 1.00) 
229.	 79.6 	 C1 - 3.0 mA	 C2 - 1.5 mA 	 (0.98 / 1.00) 
230.	 79.5 	 C0 - 5.0 mA	 C1 - 4.5 mA 	 (0.76 / 0.99) 
231.	 79.4 	 C0 - 2.0 mA	 C0 - 5.0 mA 	 (0.86 / 0.53) 
232.	 79.4 	 C1 - 2.5 mA	 C0 - 3.0 mA 	 (0.99 / 0.61) 
233.	 79.4 	 C1 - 3.5 mA	 C0 - 5.0 mA 	 (0.97 / 0.53) 
234.	 79.4 	 C0 - 3.5 mA	 C2 - 4.5 mA 	 (0.80 / 1.00) 
235.	 79.3 	 C0 - 3.5 mA	 C1 - 2.5 mA 	 (0.80 / 1.00) 
236.	 79.3 	 C1 - 3.5 mA	 C0 - 5.5 mA 	 (0.97 / 0.52) 
237.	 79.3 	 C1 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.63) 
238.	 79.3 	 C0 - 2.0 mA	 C0 - 5.5 mA 	 (0.86 / 0.52) 
239.	 79.2 	 C0 - 5.5 mA	 C1 - 4.5 mA 	 (0.75 / 0.99) 
240.	 79.2 	 C0 - 4.5 mA	 C1 - 3.0 mA 	 (0.77 / 1.00) 
241.	 79.2 	 C0 - 5.5 mA	 C1 - 3.5 mA 	 (0.75 / 1.00) 
242.	 79.2 	 C0 - 2.0 mA	 C2 - 3.0 mA 	 (0.86 / 1.00) 
243.	 79.2 	 C0 - 2.0 mA	 C0 - 4.5 mA 	 (0.86 / 0.55) 
244.	 79.2 	 C0 - 5.0 mA	 C2 - 5.0 mA 	 (0.76 / 1.00) 
245.	 79.1 	 C1 - 3.5 mA	 C0 - 4.5 mA 	 (0.97 / 0.55) 
246.	 79.0 	 C0 - 5.5 mA	 C2 - 5.0 mA 	 (0.75 / 1.00) 
247.	 78.9 	 C1 - 5.5 mA	 C1 - 4.0 mA 	 (0.92 / 0.99) 
248.	 78.9 	 C0 - 2.0 mA	 C0 - 4.0 mA 	 (0.86 / 0.56) 
249.	 78.8 	 C1 - 5.0 mA	 C2 - 5.5 mA 	 (0.93 / 1.00) 
250.	 78.8 	 C1 - 3.5 mA	 C0 - 4.0 mA 	 (0.97 / 0.56) 
251.	 78.6 	 C0 - 5.0 mA	 C1 - 5.0 mA 	 (0.76 / 0.97) 
252.	 78.6 	 C1 - 3.0 mA	 C0 - 3.0 mA 	 (0.98 / 0.61) 
253.	 78.4 	 C0 - 5.0 mA	 C1 - 5.5 mA 	 (0.76 / 0.96) 
254.	 78.4 	 C0 - 2.5 mA	 C2 - 2.5 mA 	 (0.84 / 1.00) 
255.	 78.4 	 C0 - 5.5 mA	 C1 - 5.0 mA 	 (0.75 / 0.97) 
256.	 78.4 	 C1 - 5.5 mA	 C1 - 4.5 mA 	 (0.92 / 0.99) 
257.	 78.4 	 C0 - 2.5 mA	 C0 - 5.0 mA 	 (0.84 / 0.53) 
258.	 78.3 	 C3 - 1.5 mA	 C1 - 4.5 mA 	 (0.61 / 0.99) 
259.	 78.2 	 C0 - 5.5 mA	 C1 - 5.5 mA 	 (0.75 / 0.96) 
260.	 78.2 	 C0 - 2.5 mA	 C0 - 5.5 mA 	 (0.84 / 0.52) 
261.	 78.2 	 C0 - 2.0 mA	 C0 - 3.5 mA 	 (0.86 / 0.58) 
262.	 78.2 	 C1 - 4.0 mA	 C2 - 4.5 mA 	 (0.96 / 1.00) 
263.	 78.1 	 C1 - 3.5 mA	 C0 - 3.5 mA 	 (0.97 / 0.58) 
264.	 78.1 	 C1 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.67) 
265.	 78.0 	 C0 - 2.5 mA	 C0 - 4.5 mA 	 (0.84 / 0.55) 
266.	 78.0 	 C1 - 3.5 mA	 C2 - 3.5 mA 	 (0.97 / 1.00) 
267.	 78.0 	 C1 - 5.0 mA	 C1 - 3.0 mA 	 (0.93 / 1.00) 
268.	 77.9 	 C0 - 1.5 mA	 C0 - 3.0 mA 	 (0.90 / 0.61) 
269.	 77.8 	 C1 - 5.5 mA	 C1 - 3.5 mA 	 (0.92 / 1.00) 
270.	 77.8 	 C1 - 5.5 mA	 C1 - 5.0 mA 	 (0.92 / 0.97) 
271.	 77.8 	 C1 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.63) 
272.	 77.7 	 C0 - 2.5 mA	 C0 - 4.0 mA 	 (0.84 / 0.56) 
273.	 77.7 	 C1 - 5.5 mA	 C1 - 5.5 mA 	 (0.92 / 0.96) 
274.	 77.7 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 0.74) 
