			Lead Left	Lead Right
-------------------------------------------
DIPS
252.	 93.3 	 C2 - 5.5 mA	 C3 - 3.5 mA 	 (0.79 / 0.65) 
253.	 93.2 	 C1 - 4.5 mA	 C1 - 4.0 mA 	 (0.51 / 0.14) 
254.	 93.2 	 C2 - 4.5 mA	 C2 - 3.0 mA 	 (0.84 / 0.39) 
255.	 93.2 	 C2 - 5.0 mA	 C3 - 5.5 mA 	 (0.81 / 0.60) 
256.	 93.2 	 C1 - 4.0 mA	 C2 - 3.0 mA 	 (0.52 / 0.39) 
257.	 93.1 	 C2 - 5.0 mA	 C3 - 3.5 mA 	 (0.81 / 0.65) 
258.	 93.0 	 C0 - 5.5 mA	 C3 - 2.0 mA 	 (0.22 / 0.69) 
259.	 93.0 	 C1 - 4.5 mA	 C0 - 3.5 mA 	 (0.51 / 0.01) 
260.	 93.0 	 C2 - 5.5 mA	 C2 - 2.5 mA 	 (0.79 / 0.38) 
261.	 92.9 	 C2 - 5.5 mA	 C3 - 5.0 mA 	 (0.79 / 0.61) 
262.	 92.9 	 C1 - 3.5 mA	 C3 - 3.0 mA 	 (0.54 / 0.66) 
263.	 92.9 	 C2 - 5.0 mA	 C2 - 2.5 mA 	 (0.81 / 0.38) 
264.	 92.9 	 C0 - 5.5 mA	 C2 - 4.5 mA 	 (0.22 / 0.39) 
265.	 92.8 	 C1 - 4.0 mA	 C0 - 2.5 mA 	 (0.52 / 0.00) 
266.	 92.8 	 C1 - 5.5 mA	 C1 - 3.0 mA 	 (0.50 / 0.12) 
267.	 92.8 	 C2 - 1.5 mA	 C0 - 2.5 mA 	 (0.98 / 0.00) 
268.	 92.7 	 C2 - 5.0 mA	 C3 - 5.0 mA 	 (0.81 / 0.61) 
269.	 92.7 	 C1 - 3.5 mA	 C1 - 5.5 mA 	 (0.54 / 0.18) 
270.	 92.7 	 C3 - 5.0 mA	 C0 - 1.5 mA 	 (0.96 / 0.00) 
271.	 92.6 	 C2 - 4.0 mA	 C0 - 4.5 mA 	 (0.86 / 0.02) 
272.	 92.6 	 C3 - 5.0 mA	 C0 - 2.0 mA 	 (0.96 / 0.00) 
273.	 92.6 	 C0 - 5.0 mA	 C3 - 1.5 mA 	 (0.22 / 0.72) 
274.	 92.6 	 C2 - 5.5 mA	 C3 - 4.0 mA 	 (0.79 / 0.64) 
