			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 80.4 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (0.78 / 0.78) 
no DIPSalt.settings found
-------------------------------------------
248.	 65.2 	 C0 - 2.0 mA	 C0 - 3.5 mA 	 (0.64 / 0.68) 
249.	 65.2 	 C0 - 2.5 mA	 C0 - 4.5 mA 	 (0.62 / 0.65) 
250.	 65.2 	 C1 - 4.0 mA	 C1 - 3.5 mA 	 (0.63 / 0.86) 
251.	 65.2 	 C0 - 5.0 mA	 C1 - 3.0 mA 	 (0.57 / 0.89) 
252.	 65.2 	 C1 - 4.5 mA	 C0 - 5.0 mA 	 (0.61 / 0.64) 
253.	 65.1 	 C1 - 4.5 mA	 C0 - 5.5 mA 	 (0.61 / 0.63) 
254.	 65.1 	 C3 - 3.5 mA	 C0 - 5.0 mA 	 (0.06 / 0.64) 
255.	 65.1 	 C3 - 3.5 mA	 C0 - 5.5 mA 	 (0.06 / 0.63) 
256.	 65.1 	 C1 - 2.5 mA	 C1 - 5.0 mA 	 (0.70 / 0.81) 
257.	 65.0 	 C1 - 4.0 mA	 C1 - 4.5 mA 	 (0.63 / 0.83) 
258.	 65.0 	 C0 - 3.0 mA	 C1 - 3.5 mA 	 (0.62 / 0.86) 
259.	 64.9 	 C1 - 3.5 mA	 C1 - 3.0 mA 	 (0.65 / 0.89) 
260.	 64.9 	 C0 - 2.5 mA	 C0 - 5.0 mA 	 (0.62 / 0.64) 
261.	 64.9 	 C0 - 2.5 mA	 C0 - 5.5 mA 	 (0.62 / 0.63) 
262.	 64.8 	 C1 - 5.5 mA	 C0 - 2.0 mA 	 (0.58 / 0.74) 
263.	 64.8 	 C0 - 3.0 mA	 C1 - 4.5 mA 	 (0.62 / 0.83) 
264.	 64.8 	 C3 - 1.5 mA	 C1 - 2.5 mA 	 (0.00 / 0.90) 
265.	 64.8 	 C2 - 1.5 mA	 C0 - 2.5 mA 	 (0.44 / 0.71) 
266.	 64.7 	 C1 - 4.5 mA	 C1 - 4.0 mA 	 (0.61 / 0.84) 
